id,strategy,date,total,passed,profitRate,year,month
1,PriceRate,2000/1/1 0:00,0,0,0,2000,1
2,PriceRate,2000/1/31 0:00,0,0,0,2000,1
3,PriceRate,2000/3/1 0:00,0,0,0,2000,3
4,PriceRate,2000/3/31 0:00,0,0,0,2000,3
5,PriceRate,2000/4/30 0:00,0,0,0,2000,4
6,PriceRate,2000/5/30 0:00,0,0,0,2000,5
7,PriceRate,2000/6/29 0:00,0,0,0,2000,6
8,PriceRate,2000/7/29 0:00,0,0,0,2000,7
9,PriceRate,2000/8/28 0:00,0,0,0,2000,8
10,PriceRate,2000/9/27 0:00,0,0,0,2000,9
11,PriceRate,2000/10/27 0:00,1,1,0.41,2000,10
12,PriceRate,2000/11/26 0:00,0,0,0,2000,11
13,PriceRate,2000/12/26 0:00,0,0,0,2000,12
14,PriceRate,2001/1/25 0:00,1,0,-0.02,2001,1
15,PriceRate,2001/2/24 0:00,3,3,0.08,2001,2
16,PriceRate,2001/3/26 0:00,0,0,0,2001,3
17,PriceRate,2001/4/25 0:00,0,0,0,2001,4
18,PriceRate,2001/5/25 0:00,0,0,0,2001,5
19,PriceRate,2001/6/24 0:00,0,0,0,2001,6
20,PriceRate,2001/7/24 0:00,3,0,-0.12,2001,7
21,PriceRate,2001/8/23 0:00,10,3,-0.02,2001,8
22,PriceRate,2001/9/22 0:00,10,1,-0.16,2001,9
23,PriceRate,2001/10/22 0:00,10,8,0.09,2001,10
24,PriceRate,2001/11/21 0:00,10,2,-0.01,2001,11
25,PriceRate,2001/12/21 0:00,10,0,-0.25,2001,12
26,PriceRate,2002/1/20 0:00,10,10,0.28,2002,1
27,PriceRate,2002/2/19 0:00,10,10,0.22,2002,2
28,PriceRate,2002/3/21 0:00,10,2,-0.05,2002,3
29,PriceRate,2002/4/20 0:00,10,3,-0.02,2002,4
30,PriceRate,2002/5/20 0:00,10,5,0,2002,5
31,PriceRate,2002/6/19 0:00,9,8,0.13,2002,6
32,PriceRate,2002/7/19 0:00,9,0,-0.06,2002,7
33,PriceRate,2002/8/18 0:00,9,4,0.04,2002,8
34,PriceRate,2002/9/17 0:00,9,0,-0.11,2002,9
35,PriceRate,2002/10/17 0:00,9,1,-0.08,2002,10
36,PriceRate,2002/11/16 0:00,10,2,0.01,2002,11
37,PriceRate,2002/12/16 0:00,10,7,0.02,2002,12
38,PriceRate,2003/1/15 0:00,10,8,0.06,2003,1
39,PriceRate,2003/2/14 0:00,10,0,-0.06,2003,2
40,PriceRate,2003/3/16 0:00,10,9,0.1,2003,3
41,PriceRate,2003/4/15 0:00,10,0,-0.12,2003,4
42,PriceRate,2003/5/15 0:00,10,7,0.09,2003,5
43,PriceRate,2003/6/14 0:00,10,0,-0.07,2003,6
44,PriceRate,2003/7/14 0:00,10,2,-0.04,2003,7
45,PriceRate,2003/8/13 0:00,10,3,-0.03,2003,8
46,PriceRate,2003/9/12 0:00,10,2,0,2003,9
47,PriceRate,2003/10/12 0:00,10,2,-0.11,2003,10
48,PriceRate,2003/11/11 0:00,10,10,0.19,2003,11
49,PriceRate,2003/12/11 0:00,10,3,-0.05,2003,12
50,PriceRate,2004/1/10 0:00,10,10,0.18,2004,1
51,PriceRate,2004/2/9 0:00,10,4,0.03,2004,2
52,PriceRate,2004/3/10 0:00,9,6,0.02,2004,3
53,PriceRate,2004/4/9 0:00,9,0,-0.12,2004,4
54,PriceRate,2004/5/9 0:00,8,3,0.01,2004,5
55,PriceRate,2004/6/8 0:00,8,0,-0.13,2004,6
56,PriceRate,2004/7/8 0:00,10,1,-0.07,2004,7
57,PriceRate,2004/8/7 0:00,10,3,-0.02,2004,8
58,PriceRate,2004/9/6 0:00,8,6,0.07,2004,9
59,PriceRate,2004/10/6 0:00,10,2,-0.1,2004,10
60,PriceRate,2004/11/5 0:00,10,10,0.12,2004,11
61,PriceRate,2004/12/5 0:00,10,2,-0.08,2004,12
62,PriceRate,2005/1/4 0:00,10,3,-0.05,2005,1
63,PriceRate,2005/2/3 0:00,10,10,0.13,2005,2
